21069,Bright - Mount Beauty
21139,Abbotsford
21114,Essendon - Aberfeldie
21077,Mount Baw Baw Region
21054,Alexandra
21093,Wonthaggi - Inverloch
21010,Creswick - Clunes
21017,Maryborough Region
21087,Foster
21431,Otway
21049,Lorne - Anglesea
21101,Maffra
21226,Airport West
21390,Nhill Region
21333,Kings Park (Vic.)
21128,Albert Park
21104,Yarram
21328,Ardeer - Albion
21001,Alfredton
21078,Trafalgar (Vic.)
21090,Leongatha
21075,Yackandandah
21433,Warrnambool - South
21420,Glenelg (Vic.)
21412,Moira
21110,Alphington - Fairfield
21341,Altona
21342,Altona Meadows
21343,Altona North
21426,Colac Region
21013,Avoca
21043,Lara
21057,Mansfield (Vic.)
21082,Bruthen - Omeo
21405,Swan Hill Region
21401,Gannawarra
21033,Loddon
21393,West Wimmera
21389,Horsham Region
21386,Ararat
21089,Korumburra
21099,Alps - West
21418,Shepparton Region - East
21055,Euroa
21064,Benalla Region
21419,Shepparton Region - West
21394,Yarriambiack
21029,Heathcote
21135,Armadale
21387,Ararat Region
21050,Ocean Grove - Barwon Heads
21212,Panton Hill - St Andrews
21377,Dromana
21025,White Hills - Ascot
21113,Ascot Vale
21031,Woodend
21146,Ashburton (Vic.)
21319,Ashwood - Chadstone
21189,Edithvale - Aspendale
21183,Aspendale Gardens - Waterways
21076,Drouin
21245,Gladstone Park - Westmeadows
21058,Nagambie
21391,St Arnaud
21229,Keilor East
21032,Bendigo Region - North
21289,Emerald - Cockatoo
21026,Bendigo Region - South
21428,Corangamite - South
21353,Bacchus Marsh
21276,Healesville - Yarra Glen
21081,Bairnsdale
21002,Ballarat
21134,St Kilda East
21009,Bacchus Marsh Region
21429,Moyne - East
21400,Buloke
21003,Ballarat - North
21409,Rochester
21423,Southern Grampians
21379,Hastings - Somers
21147,Balwyn
21148,Balwyn North
21408,Lockington - Gunbower
21036,Winchelsea
21035,Golden Plains - South
21074,Wodonga
21311,Dandenong
21086,Paynesville
21034,Bannockburn
21028,Castlemaine Region
21012,Gordon (Vic.)
21413,Numurkah
21070,Chiltern - Indigo Valley
21073,West Wodonga
21071,Myrtleford
21011,Daylesford
21385,Somerville
21290,Koo Wee Rup
21030,Kyneton
21251,Bayswater
21263,Bayswater North
21287,Beaconsfield - Officer
21014,Beaufort
21168,Beaumaris
21068,Beechworth
21286,Yarra Valley
21274,Belgrave - Selby
21047,North Geelong - Bell Park
21051,Portarlington
21085,Orbost
21053,Torquay
21072,Towong
21392,Stawell
21199,Heidelberg West
21037,Belmont
21063,Benalla
21018,Bendigo
21235,Romsey
21174,Bentleigh - McKinnon
21175,Bentleigh East
21015,Golden Plains - North
21427,Corangamite - North
21294,Berwick - South
21430,Moyne - West
21224,Wallan
21398,Mildura Region
21022,Kangaroo Flat - Golden Square
21396,Merbein
21173,Sandringham - Black Rock
21161,Blackburn
21162,Blackburn South
21383,Point Nepean
21308,Pearcedale - Tooradin
21067,Wangaratta Region
21079,Warragul
21186,Chelsea - Bonbeach
21378,Flinders
21006,Delacombe
21098,Yallourn North - Glengarry
21094,Churchill
21100,Longford - Loch Sport
21252,Boronia - The Basin
21303,Cranbourne South
21163,Box Hill
21164,Box Hill North
21184,Braeside
21347,Braybrook
21039,Geelong
21202,Montmorency - Briar Hill
21169,Brighton (Vic.)
21170,Brighton East
21065,Rutherglen
21056,Kilmore - Broadford
21242,Broadmeadows
21357,Melton South
21080,Alps - East
21105,Brunswick
21106,Brunswick East
21107,Brunswick West
21246,Greenvale - Bulla
21156,Bulleen
21232,Gisborne
21196,Bundoora - East
21005,Buninyong
21288,Bunyip - Garfield
21410,Rushworth
21144,Richmond (Vic.)
21354,Caroline Springs
21165,Burwood
21166,Burwood East
21432,Warrnambool - North
21329,Cairnlea
21340,Taylors Lakes
21019,California Gully - Eaglehawk
21102,Rosedale
21061,Upper Yarra Valley
21149,Camberwell
21007,Smythes Creek
21243,Campbellfield - Coolaroo
21027,Castlemaine
21424,Camperdown
21004,Ballarat - South
21155,Surrey Hills (West) - Canterbury
21091,Phillip Island
21399,Red Cliffs
21117,Carlton
21140,Carlton North - Princes Hill
21176,Carnegie
21185,Carrum - Patterson Lakes
21370,Carrum Downs
21211,Kinglake
21178,Caulfield - South
21177,Caulfield - North
21062,Yea
21042,Highton
21041,Grovedale
21187,Chelsea Heights
21188,Cheltenham - Highett (East)
21234,Riddells Creek
21275,Chirnside Park
21309,Clarinda - Oakleigh South
21320,Clayton
21310,Clayton South
21145,Yarra - North
21048,Clifton Springs
21301,Cranbourne East
21411,Cobram
21108,Coburg
21236,Coburg North
21368,Werribee - South
21425,Colac
21278,Lilydale - Coldstream
21141,Collingwood
21178,Wentworth - Buronga
21038,Corio - Norlane
21244,Craigieburn - Mickleham
21300,Cranbourne
21302,Cranbourne North
21304,Cranbourne West
21264,Croydon
21265,Croydon Hills - Warranwood
21312,Dandenong North
21330,Deer Park - Derrimut
21331,Delahey
21215,Wattle Glen - Diamond Creek
21241,Sunbury - South
21313,Dingley Village
21118,Docklands
21157,Doncaster
21158,Doncaster East
21225,Whittlesea
21261,Donvale - Park Orchards
21388,Horsham
21222,South Morang
21295,Doveton
21201,Ivanhoe East - Eaglemont
21020,East Bendigo - Kennington
21119,East Melbourne
21406,Echuca
21088,French Island
21179,Elsternwick
21209,Eltham
21129,Elwood
21296,Endeavour Hills
21218,Epping
21227,Essendon Airport
21230,Niddrie - Essendon West
21237,Fawkner
21253,Ferntree Gully
21282,Mount Dandenong - Olinda
21142,Fitzroy
21143,Fitzroy North
21115,Flemington
21021,Flora Hill - Spring Gully
21097,Traralgon
21348,Footscray
21269,Forest Hill
21371,Frankston
21372,Frankston North
21373,Frankston South
21040,Geelong West - Hamlyn Heights
21182,Ormond - Glen Huntly
21150,Glen Iris - East
21321,Glen Waverley - East
21060,Seymour Region
21238,Glenroy - Hadfield
21416,Shepparton - North
21197,Greensborough
21285,Wandin - Seville
21297,Hallam
21421,Hamilton (Vic.)
21172,Hampton
21305,Hampton Park - Lynbrook
21403,Robinvale
21299,Narre Warren North
21151,Hawthorn
21152,Hawthorn East
21191,Moorabbin - Heatherton
21267,Ringwood East
21198,Heidelberg - Rosanna
21095,Moe - Newborough
21171,Cheltenham - Highett (West)
21355,Hillside
21361,Hoppers Crossing - North
21180,Hughesdale
21326,Oakleigh - Huntingdale
21210,Hurstbridge
21395,Irymple
21200,Ivanhoe
21024,Strathfieldsaye
21084,Lakes Entrance
21214,Research - North Warrandyte
21407,Kyabram
21332,Keilor Downs
21228,Keilor
21121,Kensington
21402,Kerang
21153,Kew
21154,Kew East
21314,Keysborough
21417,Shepparton - South
21277,Kilsyth
21205,Kingsbury
21350,Seddon - Kingsville
21254,Knoxfield - Scoresby
21194,Malvern - Glen Iris
21356,Melton
21219,Lalor
21374,Langwarrin
21363,Laverton
21044,Leopold
21367,Werribee
21306,Lynbrook - Lyndhurst
21255,Lysterfield
21279,Monbulk - Silvan
21233,Macedon
21203,Viewbank - Yallambie
21023,Maiden Gully
21195,Malvern East
21052,Queenscliff
21349,Maribyrnong
21016,Maryborough (Vic.)
21096,Morwell
21384,Rosebud - McCrae
21247,Meadow Heights
21122,Melbourne
21248,Melbourne Airport
21358,Melton West
21190,Mentone
21397,Mildura
21220,Mill Park - North
21008,Wendouree - Miners Rest
21270,Mitcham (Vic.)
21167,Surrey Hills (East) - Mont Albert
21280,Montrose
21045,Newcomb - Moolap
21116,Moonee Ponds
21192,Moorabbin Airport
21281,Mooroolbark
21415,Mooroopna
21193,Mordialloc - Parkdale
21380,Mornington
21359,Rockbank - Mount Cottrell
21381,Mount Eliza
21283,Mount Evelyn
21382,Mount Martha
21324,Mount Waverley - South
21325,Mulgrave
21181,Murrumbeena
21298,Narre Warren
21307,Narre Warren South
21344,Newport
21046,Newtown (Vic.)
21315,Noble Park
21316,Noble Park North
21123,North Melbourne
21111,Northcote
21271,Nunawading
21239,Pascoe Vale
21240,Sunbury
21292,Pakenham - South
21124,Parkville
21109,Pascoe Vale South
21213,Plenty - Yarrambat
21364,Point Cook
21130,Port Melbourne
21422,Portland
21136,Prahran - Windsor
21206,Preston
21369,Wyndham Vale
21207,Reservoir - East
21266,Ringwood
21268,Ringwood North
21256,Rowville - Central
21249,Roxburgh Park - Somerton
21103,Sale
21376,Skye - Sandhurst
21345,Seabrook
21375,Seaford (Vic.)
21059,Seymour
21132,South Melbourne
21126,Southbank
21137,South Yarra - East
21317,Springvale
21318,Springvale South
21334,St Albans - North
21133,St Kilda
21231,Strathmore
21336,Sunshine
21337,Sunshine North
21338,Sunshine West
21404,Swan Hill
21339,Sydenham
21365,Tarneit
21360,Taylors Hill
21284,Upwey - Tecoma
21159,Templestowe
21160,Templestowe Lower
21223,Thomastown
21112,Thornbury
21092,Wilsons Promontory
21138,Toorak
21351,West Footscray - Tottenham
21366,Truganina
21250,Tullamarine
21272,Vermont
21273,Vermont South
21066,Wangaratta
21259,Wantirna
21260,Wantirna South
21262,Warrandyte - Wonga Park
21204,Watsonia
21174,Albury - South
21327,Wheelers Hill
21346,Williamstown
21352,Yarraville
21414,Yarrawonga
